                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.52531,                0.34248,                 1.0237,                0.98479,                0.96667,                0.98384,                0.91435,                0.48908,                0.23338,                0.96843,             7.6142e-05,             7.6142e-05,             7.6142e-05
                     52,                0.52292,                0.34228,                 1.0223,                 0.9847,                0.96669,                0.98382,                0.91445,                0.48872,                  0.233,                0.96823,              7.525e-05,              7.525e-05,              7.525e-05
                     53,                0.52516,                0.34345,                 1.0229,                0.98507,                0.96656,                0.98386,                0.91455,                0.48805,                0.23264,                0.96776,             7.4347e-05,             7.4347e-05,             7.4347e-05
                     54,                0.51411,                0.33691,                 1.0159,                0.98501,                0.96634,                0.98381,                 0.9146,                0.48816,                0.23266,                0.96803,             7.4347e-05,             7.4347e-05,             7.4347e-05
                     55,                0.51311,                0.33508,                 1.0166,                0.98515,                0.96626,                0.98387,                0.91439,                0.48823,                0.23261,                0.96823,             7.2509e-05,             7.2509e-05,             7.2509e-05
                     56,                0.50949,                0.33535,                 1.0136,                0.98543,                0.96625,                0.98392,                0.91467,                0.48805,                0.23267,                 0.9682,             7.1576e-05,             7.1576e-05,             7.1576e-05
                     57,                0.50507,                0.32966,                 1.0098,                 0.9857,                0.96623,                0.98382,                0.91449,                0.48814,                0.23265,                0.96857,             7.0633e-05,             7.0633e-05,             7.0633e-05
                     58,                0.50374,                0.32945,                 1.0113,                0.98561,                0.96627,                 0.9838,                0.91457,                0.48808,                0.23268,                 0.9689,             6.9682e-05,             6.9682e-05,             6.9682e-05
                     59,                0.49901,                0.32529,                 1.0089,                0.98566,                0.96677,                0.98388,                0.91467,                0.48839,                 0.2325,                 0.9696,             6.8722e-05,             6.8722e-05,             6.8722e-05
                     60,                0.49717,                0.32516,                 1.0088,                0.98568,                0.96682,                0.98391,                0.91461,                0.48849,                0.23253,                0.97034,             6.7754e-05,             6.7754e-05,             6.7754e-05
                     61,                0.49674,                 0.3234,                 1.0065,                0.98542,                0.96674,                0.98393,                0.91464,                0.48851,                0.23264,                0.97077,             6.6779e-05,             6.6779e-05,             6.6779e-05
                     62,                 0.4988,                0.32415,                  1.007,                0.98484,                0.96678,                0.98397,                0.91476,                0.48875,                 0.2323,                0.97117,             6.5796e-05,             6.5796e-05,             6.5796e-05
                     63,                0.49455,                0.32402,                 1.0042,                0.98595,                0.96622,                  0.984,                0.91494,                0.48855,                0.23198,                0.97132,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     64,                0.49735,                0.32369,                 1.0071,                0.98615,                0.96606,                 0.9839,                 0.9148,                0.48851,                0.23166,                0.97153,             6.3812e-05,             6.3812e-05,             6.3812e-05
                     65,                0.49274,                0.32375,                 1.0055,                0.98485,                0.96688,                0.98378,                0.91473,                 0.4882,                0.23129,                0.97161,              6.281e-05,              6.281e-05,              6.281e-05
                     66,                0.49327,                0.32117,                 1.0039,                0.98504,                0.96671,                0.98384,                0.91476,                0.48817,                0.23163,                0.97173,             6.1803e-05,             6.1803e-05,             6.1803e-05
                     67,                0.49249,                0.32013,                 1.0046,                0.98429,                0.96677,                0.98376,                0.91464,                0.48805,                0.23148,                0.97203,             6.0792e-05,             6.0792e-05,             6.0792e-05
                     68,                0.49517,                0.32491,                 1.0061,                0.98139,                0.96946,                0.98365,                0.91466,                0.48834,                0.23166,                0.97262,             5.9775e-05,             5.9775e-05,             5.9775e-05
                     69,                0.49631,                0.32298,                 1.0063,                0.98156,                0.96992,                0.98368,                0.91458,                0.48833,                0.23147,                0.97284,             5.8755e-05,             5.8755e-05,             5.8755e-05
                     70,                0.49905,                0.32541,                 1.0074,                0.98152,                0.97009,                0.98368,                0.91445,                0.48825,                 0.2314,                0.97294,             5.7731e-05,             5.7731e-05,             5.7731e-05
                     71,                 0.4986,                0.32793,                 1.0093,                0.98173,                0.97007,                 0.9837,                0.91462,                0.48796,                0.23107,                0.97272,             5.6704e-05,             5.6704e-05,             5.6704e-05
                     72,                0.50115,                0.32619,                 1.0094,                0.98213,                0.97031,                0.98383,                0.91478,                0.48774,                0.23096,                0.97271,             5.5674e-05,             5.5674e-05,             5.5674e-05
                     73,                0.50412,                0.32656,                  1.012,                0.98187,                0.97003,                 0.9838,                0.91474,                0.48785,                0.23128,                0.97292,             5.4642e-05,             5.4642e-05,             5.4642e-05
